repeat,model,n,mae,rmse,r2,pearson_r
16,lesion_plus_hodge,210,16.80032746488755,20.823113612491397,0.4290556782548878,0.6620169261525505
16,lesion_plus_mass_effect_plus_hodge,210,15.805869751826656,19.73816927391947,0.4870014246351524,0.7004498932065572
17,intercept_only,210,24.224968253968257,27.806351084915768,-0.01809996973145722,-0.179381503971383
17,clinical_only,210,24.246548022173055,27.891190417981765,-0.024322051187234184,-0.1911627206091694
17,lesion_standard,210,16.561186151327366,20.517207987169904,0.44570757598330846,0.668208844884531
17,lesion_plus_mass_effect,210,16.05692037802435,19.988267710534576,0.4739188562626906,0.6885060916851573
17,lesion_plus_uncertainty,210,15.685067592497784,19.90744591934587,0.4781646327707041,0.6930746032388271
17,lesion_uncertainty_plus_mass_effect,210,15.837704502697541,19.705934488252044,0.4886756322010921,0.699175912132881
17,lesion_plus_hodge,210,16.545486910823165,20.457836408279576,0.44891089691786035,0.6708976871201621
17,lesion_plus_mass_effect_plus_hodge,210,16.265142801687265,20.040431108617145,0.47116944461161214,0.6868022618575002
18,intercept_only,210,24.10978458049887,27.70516835844607,-0.01070405469575375,-0.13794720211091074
18,clinical_only,210,24.222895292103935,27.88645429127188,-0.023974206074934834,-0.14995939609706244
18,lesion_standard,210,16.623065706884745,20.71075213018361,0.4352006831811702,0.6633713055096211
18,lesion_plus_mass_effect,210,16.039128619346187,20.086415108913343,0.4687397919197227,0.686562703679563
18,lesion_plus_uncertainty,210,15.865875483592658,20.727656581771818,0.4342783101924558,0.6732811944853433
18,lesion_uncertainty_plus_mass_effect,210,15.456478349404083,19.64018545447379,0.4920820170095086,0.7025472417812018
18,lesion_plus_hodge,210,16.511839522851684,20.510758889223556,0.44605597858533064,0.6703765970959223
18,lesion_plus_mass_effect_plus_hodge,210,15.954343368655389,19.875926781746514,0.4798157516577639,0.6931325381098931
19,intercept_only,210,24.1103514739229,27.614644858436915,-0.0041101227128796936,-0.08548031833642834
19,clinical_only,210,24.265163217375665,27.841152386052382,-0.02064998973618115,-0.17149714435966762
19,lesion_standard,210,16.265601418066023,20.1483590145818,0.4654580639901085,0.6826837289208992
19,lesion_plus_mass_effect,210,15.599935338394342,19.580605875458648,0.4951589369959677,0.7037525210174205
19,lesion_plus_uncertainty,210,15.620048775173801,19.67011683722361,0.4905327167814628,0.7003859993868106
19,lesion_uncertainty_plus_mass_effect,210,15.271151272285897,19.240747042567104,0.512531810154431,0.7159696602667568
19,lesion_plus_hodge,210,16.274624646176722,20.114442119882614,0.4672561997989254,0.6844478862821807
19,lesion_plus_mass_effect_plus_hodge,210,15.64266642654556,19.56332532807968,0.4960496224407238,0.7044234575825044
20,intercept_only,210,24.153938775510202,27.76567399951588,-0.015123452020398886,-0.16396992689256729
20,clinical_only,210,24.23967851500483,27.949474227157037,-0.028607545540669133,-0.13581247766297636
20,lesion_standard,210,16.54463608818747,20.349877726221717,0.45471188887171776,0.6750458465316672
20,lesion_plus_mass_effect,210,15.47193637867417,19.27937056919415,0.5105727762560957,0.7145950707089406
20,lesion_plus_uncertainty,210,15.256093697063607,19.426003541021878,0.5030995982526174,0.7100813795382095
20,lesion_uncertainty_plus_mass_effect,210,15.1570714976561,19.07830648066353,0.520727993736207,0.7217522368427645
20,lesion_plus_hodge,210,16.598918363077225,20.458222002988776,0.4488901225758618,0.6711549144591221
20,lesion_plus_mass_effect_plus_hodge,210,15.544652174681792,19.355425447265617,0.5067036926108914,0.7118804150444951
